Team_Key,Team_Name,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Points
399.l.643103.t.3,"b""Champ's Chosen Ones""",97.1,2,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',142.22
399.l.643103.t.2,b'Mixon It Up',89.38,2,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',121.5
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',121.5,2,2020,399.l.643103.t.2,b'Mixon It Up',89.38
399.l.643103.t.4,b'Doc Y',140.8,2,2020,399.l.643103.t.8,b'Sharknadoes',149.62
399.l.643103.t.8,b'Sharknadoes',149.62,2,2020,399.l.643103.t.4,b'Doc Y',140.8
399.l.643103.t.5,b'BROTHER SHAMUS',121.16,2,2020,399.l.643103.t.7,b'Herndiggler',123.48
399.l.643103.t.7,b'Herndiggler',123.48,2,2020,399.l.643103.t.5,b'BROTHER SHAMUS',121.16
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',139.8,3,2020,399.l.643103.t.4,b'Doc Y',136.08
399.l.643103.t.4,b'Doc Y',136.08,3,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',139.8
399.l.643103.t.2,b'Mixon It Up',84.22,3,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",91.98
399.l.643103.t.3,"b""Champ's Chosen Ones""",91.98,3,2020,399.l.643103.t.2,b'Mixon It Up',84.22
399.l.643103.t.5,b'BROTHER SHAMUS',150.58,3,2020,399.l.643103.t.8,b'Sharknadoes',124.62
399.l.643103.t.8,b'Sharknadoes',124.62,3,2020,399.l.643103.t.5,b'BROTHER SHAMUS',150.58
399.l.643103.t.7,b'Herndiggler',137,3,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',119
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',119,3,2020,399.l.643103.t.7,b'Herndiggler',137
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',70.5,4,2020,399.l.643103.t.5,b'BROTHER SHAMUS',135.72
399.l.643103.t.5,b'BROTHER SHAMUS',135.72,4,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',70.5
399.l.643103.t.2,b'Mixon It Up',197.68,4,2020,399.l.643103.t.4,b'Doc Y',115.08
399.l.643103.t.4,b'Doc Y',115.08,4,2020,399.l.643103.t.2,b'Mixon It Up',197.68
399.l.643103.t.3,"b""Champ's Chosen Ones""",105.1,4,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',80.42
