Team_Key,Team_Name,Division,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Division,Opponent_Points
390.l.43068.t.3,Champ's Chosen Ones,No Division,105.22,3,2019,390.l.43068.t.5,BROTHER SHAMUS,No Division,103.16
390.l.43068.t.5,BROTHER SHAMUS,No Division,103.16,3,2019,390.l.43068.t.3,Champ's Chosen Ones,No Division,105.22
390.l.43068.t.6,Hep C-ity Rejects,No Division,116.24,3,2019,390.l.43068.t.8,Sharknadoes,No Division,151.14
390.l.43068.t.8,Sharknadoes,No Division,151.14,3,2019,390.l.43068.t.6,Hep C-ity Rejects,No Division,116.24
390.l.43068.t.7,Herndiggler,No Division,126.0,3,2019,390.l.43068.t.10,SBTFers,No Division,135.44
390.l.43068.t.10,SBTFers,No Division,135.44,3,2019,390.l.43068.t.7,Herndiggler,No Division,126.0
390.l.43068.t.1,Che Danno,No Division,105.62,4,2019,390.l.43068.t.3,Champ's Chosen Ones,No Division,102.08
390.l.43068.t.3,Champ's Chosen Ones,No Division,102.08,4,2019,390.l.43068.t.1,Che Danno,No Division,105.62
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,108.6,4,2019,390.l.43068.t.9,Uno,No Division,110.78
390.l.43068.t.9,Uno,No Division,110.78,4,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,108.6
390.l.43068.t.4,Doc Y,No Division,103.9,4,2019,390.l.43068.t.10,SBTFers,No Division,81.7
390.l.43068.t.10,SBTFers,No Division,81.7,4,2019,390.l.43068.t.4,Doc Y,No Division,103.9
390.l.43068.t.5,BROTHER SHAMUS,No Division,157.8,4,2019,390.l.43068.t.6,Hep C-ity Rejects,No Division,80.0
390.l.43068.t.6,Hep C-ity Rejects,No Division,80.0,4,2019,390.l.43068.t.5,BROTHER SHAMUS,No Division,157.8
390.l.43068.t.7,Herndiggler,No Division,134.48,4,2019,390.l.43068.t.8,Sharknadoes,No Division,90.02
390.l.43068.t.8,Sharknadoes,No Division,90.02,4,2019,390.l.43068.t.7,Herndiggler,No Division,134.48
390.l.43068.t.1,Che Danno,No Division,110.28,5,2019,390.l.43068.t.4,Doc Y,No Division,113.86
390.l.43068.t.4,Doc Y,No Division,113.86,5,2019,390.l.43068.t.1,Che Danno,No Division,110.28
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,129.44,5,2019,390.l.43068.t.7,Herndiggler,No Division,154.14
390.l.43068.t.7,Herndiggler,No Division,154.14,5,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,129.44
390.l.43068.t.3,Champ's Chosen Ones,No Division,96.24,5,2019,390.l.43068.t.5,BROTHER SHAMUS,No Division,110.54
390.l.43068.t.5,BROTHER SHAMUS,No Division,110.54,5,2019,390.l.43068.t.3,Champ's Chosen Ones,No Division,96.24
390.l.43068.t.6,Hep C-ity Rejects,No Division,163.34,5,2019,390.l.43068.t.9,Uno,No Division,127.84
390.l.43068.t.9,Uno,No Division,127.84,5,2019,390.l.43068.t.6,Hep C-ity Rejects,No Division,163.34
390.l.43068.t.8,Sharknadoes,No Division,76.66,5,2019,390.l.43068.t.10,SBTFers,No Division,191.12
390.l.43068.t.10,SBTFers,No Division,191.12,5,2019,390.l.43068.t.8,Sharknadoes,No Division,76.66
390.l.43068.t.1,Che Danno,No Division,98.42,6,2019,390.l.43068.t.10,SBTFers,No Division,119.16
390.l.43068.t.10,SBTFers,No Division,119.16,6,2019,390.l.43068.t.1,Che Danno,No Division,98.42
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,98.84,6,2019,390.l.43068.t.6,Hep C-ity Rejects,No Division,93.6
390.l.43068.t.6,Hep C-ity Rejects,No Division,93.6,6,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,98.84
390.l.43068.t.3,Champ's Chosen Ones,No Division,72.72,6,2019,390.l.43068.t.9,Uno,No Division,118.44
390.l.43068.t.9,Uno,No Division,118.44,6,2019,390.l.43068.t.3,Champ's Chosen Ones,No Division,72.72
390.l.43068.t.4,Doc Y,No Division,128.04,6,2019,390.l.43068.t.8,Sharknadoes,No Division,109.22
390.l.43068.t.8,Sharknadoes,No Division,109.22,6,2019,390.l.43068.t.4,Doc Y,No Division,128.04
390.l.43068.t.5,BROTHER SHAMUS,No Division,170.42,6,2019,390.l.43068.t.7,Herndiggler,No Division,109.2
390.l.43068.t.7,Herndiggler,No Division,109.2,6,2019,390.l.43068.t.5,BROTHER SHAMUS,No Division,170.42
390.l.43068.t.1,Che Danno,No Division,125.88,7,2019,390.l.43068.t.6,Hep C-ity Rejects,No Division,104.32
390.l.43068.t.6,Hep C-ity Rejects,No Division,104.32,7,2019,390.l.43068.t.1,Che Danno,No Division,125.88
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,67.26,7,2019,390.l.43068.t.10,SBTFers,No Division,101.36
390.l.43068.t.10,SBTFers,No Division,101.36,7,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,67.26
390.l.43068.t.3,Champ's Chosen Ones,No Division,140.44,7,2019,390.l.43068.t.8,Sharknadoes,No Division,89.26
390.l.43068.t.8,Sharknadoes,No Division,89.26,7,2019,390.l.43068.t.3,Champ's Chosen Ones,No Division,140.44
390.l.43068.t.4,Doc Y,No Division,51.64,7,2019,390.l.43068.t.7,Herndiggler,No Division,93.06
390.l.43068.t.7,Herndiggler,No Division,93.06,7,2019,390.l.43068.t.4,Doc Y,No Division,51.64
390.l.43068.t.5,BROTHER SHAMUS,No Division,130.54,7,2019,390.l.43068.t.9,Uno,No Division,94.62
390.l.43068.t.9,Uno,No Division,94.62,7,2019,390.l.43068.t.5,BROTHER SHAMUS,No Division,130.54
390.l.43068.t.1,Che Danno,No Division,98.56,8,2019,390.l.43068.t.10,SBTFers,No Division,164.76
390.l.43068.t.10,SBTFers,No Division,164.76,8,2019,390.l.43068.t.1,Che Danno,No Division,98.56
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,124.3,8,2019,390.l.43068.t.7,Herndiggler,No Division,101.8
390.l.43068.t.7,Herndiggler,No Division,101.8,8,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,124.3
